Index,Order number,Tracking number,Product name,Quantity,Price,Date of order,Date of dispatch,Date delivered,Order status,Address
17,110-3112404-7537540,TBA614847448862,general tools,1,6.19,2024-11-25,2024-11-28,2024-12-03,Delivered,"Sridhar K S, #442, Bajirao Road, City Urban, Hyderabad, KA, 722882"
18,710-1640352-2541965,A855758563322,daniel smith,3,13.52,2024-11-25,2024-11-28,2024-11-25,Shipped,"Sridhar K S, #310, S M Street, City Sub-urban, NamakKal, AP, 383802"
19,901-8758520-4269780,AMZN693441469846,nznd,3,13.98,2024-11-25,2024-11-25,2024-12-03,Cancelled,"Nikhil G, #974, S M Street, City Rural, Hyderabad, OD, 974657"
20,693-7737096-7799931,AMZN239148426520,braun,5,94.94,2024-11-25,2024-11-26,2024-11-29,Shipped,"Anshul A, #975, S M Street, City Rural, NamakKal, OD, 944559"
21,710-4258434-8329702,A446430289070,aqua select,2,399.99,2024-11-25,2024-11-27,2024-11-30,Delivered,"Sumanata B, #34, Bidyut Marg, City Rural, Thiruvananthapuram, OD, 980029"
22,211-1290127-5683209,AMZN536473312846,swanson,7,12.8,2024-11-25,2024-11-27,2024-11-29,Pending,"Sahana, #216, Laad Bazaar, City Rural, NamakKal, AP, 950039"
23,622-7199238-8200691,TBA555929679261,dingo,6,144.95,2024-11-25,2024-11-25,2024-11-27,Shipped,"Pallabi P, #595, S M Street, City Urban, Cuttack , KA, 652446"
24,848-4028967-5544747,A314954375468,natures answer,7,12.74,2024-11-25,2024-11-25,2024-11-26,Out for Delivery,"Pallabi P, #879, Bidyut Marg, City Sub-urban, Thiruvananthapuram, TN, 405626"
25,889-7882804-7760750,AMZN475435639874,ftl,4,12.99,2024-11-25,2024-11-26,2024-12-04,Cancelled,"Sumanata B, #219,  MG Road, City Rural, Bangalore, OD, 595234"
26,110-3038355-5767060,AMZN200140672708,h heshecein,10,20.91,2024-11-25,2024-11-26,2024-11-27,Cancelled,"Shantanu D, #6,  MG Road, City Urban, Cuttack , OD, 291896"
27,947-1279596-6625714,A270230516698,koolertron,3,85.99,2024-11-25,2024-11-26,2024-12-04,Pending,"Pallabi P, #855, S M Street, City Urban, Hyderabad, KA, 869198"
28,457-3689367-6187179,TBA178694175006,signature fitness,10,99.99,2024-11-25,2024-11-26,2024-11-29,Out for Delivery,"Anshul A, #383,  MG Road, City Sub-urban, Hyderabad, KA, 677779"
29,647-7272983-1870010,A136898277618,artd,6,161.49,2024-11-25,2024-11-26,2024-11-30,Shipped,"Radhabaran M, #321,  MG Road, City Rural, Thiruvananthapuram, KA, 140056"
30,313-3358364-8472935,A394168486773,fantpk,3,7.99,2024-11-25,2024-11-26,2024-11-26,Shipped,"Pallabi P, #23, Laad Bazaar, City Rural, Bangalore, KL, 881843"
31,792-6619568-7955249,AMZN190358279966,pg professional,9,41.49,2024-11-25,2024-11-27,2024-12-05,Pending,"Nikhil G, #650,  MG Road, City Rural, Cuttack , KL, 943300"
32,340-4370502-5474141,TBA719438523141,olight,10,64.95,2024-11-25,2024-11-27,2024-12-03,Pending,"Nikhil G, #597, Bajirao Road, City Sub-urban, Bangalore, OD, 838826"
33,448-8966485-2402299,A984402715535,posh creations,2,51.74,2024-11-25,2024-11-25,2024-11-28,Cancelled,"Sridhar K S, #932,  MG Road, City Rural, Hyderabad, OD, 612677"
34,939-4998151-7833495,A147266724084,in the swim,8,19.56,2024-11-25,2024-11-26,2024-11-28,Delivered,"Radhabaran M, #799, Bidyut Marg, City Sub-urban, Bangalore, TN, 777241"
35,741-2223989-6006402,A499123688458,fruit of the loom womens ia,2,9.99,2024-11-25,2024-11-28,2024-11-25,Cancelled,"Pallabi P, #954,  MG Road, City Sub-urban, Thiruvananthapuram, OD, 994783"
36,436-6365064-7579086,TBA561508566604,idzo,2,41.39,2024-11-25,2024-11-27,2024-11-29,Pending,"Anshul A, #160, Bajirao Road, City Urban, Cuttack , TN, 491450"
37,996-3081118-9427930,AMZN685553625197,guleek,4,19.99,2024-11-25,2024-11-28,2024-11-29,Shipped,"Sahana, #455, Bajirao Road, City Urban, Hyderabad, TN, 561526"
38,194-1245113-6914105,A157458625416,fihapyli,3,21.98,2024-11-25,2024-11-26,2024-11-25,Out for Delivery,"Sahana, #261, Laad Bazaar, City Urban, Thiruvananthapuram, KA, 256981"
39,895-8839313-9458348,TBA398964430180,cleanespresso,9,16.99,2024-11-25,2024-11-25,2024-11-27,Delivered,"Shantanu D, #272,  MG Road, City Urban, Bangalore, KA, 579906"
40,953-6871011-5012920,A380897318004,minnetonka,2,69.95,2024-11-25,2024-11-27,2024-11-25,Cancelled,"Anshul A, #345, Bidyut Marg, City Rural, NamakKal, OD, 650451"
41,267-8805251-2048507,TBA835195973361,generic,9,9.47,2024-11-25,2024-11-28,2024-11-29,Pending,"Sahana, #542, Bidyut Marg, City Urban, Bangalore, KL, 736213"
42,442-1319205-7410220,TBA131310062985,pirelli,8,140.88,2024-11-25,2024-11-26,2024-12-04,Cancelled,"Sumanata B, #246, Bidyut Marg, City Urban, NamakKal, TN, 864062"
43,332-2939349-6299339,TBA298874577323,wrapon,8,68.48,2024-11-25,2024-11-26,2024-12-04,Out for Delivery,"Sumanata B, #743, Laad Bazaar, City Urban, Thiruvananthapuram, OD, 731528"
44,565-4216889-1529253,TBA183111044442,jetech,5,12.98,2024-11-25,2024-11-25,2024-11-28,Cancelled,"Sahana, #842, Bidyut Marg, City Rural, NamakKal, TN, 591351"
45,401-2878735-7408634,AMZN480322103940,seresto,7,103.0,2024-11-25,2024-11-26,2024-12-01,Cancelled,"Sahana, #532,  MG Road, City Rural, NamakKal, KL, 987407"
46,357-3196721-7191024,A821796677448,safavieh,8,90.09,2024-11-25,2024-11-25,2024-12-01,Shipped,"Sumanata B, #28, Bidyut Marg, City Urban, Hyderabad, OD, 111469"
47,165-7694823-1509505,TBA590118475967,swingline,9,17.45,2024-11-25,2024-11-25,2024-11-28,Cancelled,"Shantanu D, #754, Bajirao Road, City Rural, NamakKal, OD, 838382"
48,131-3765877-6651121,AMZN130852099289,scott,8,55.0,2024-11-25,2024-11-28,2024-11-30,Out for Delivery,"Shantanu D, #43, S M Street, City Rural, Bangalore, KL, 709673"
49,429-7229564-1985067,AMZN576435436981,gugmoy,4,15.49,2024-11-25,2024-11-27,2024-12-04,Out for Delivery,"Shantanu D, #732, S M Street, City Rural, Cuttack , AP, 770822"
50,431-4741615-8380822,A659746800026,ciyagpoou,10,4.99,2024-11-25,2024-11-27,2024-11-28,Out for Delivery,"Pallabi P, #21, S M Street, City Rural, Hyderabad, OD, 392996"
51,922-2556709-5696078,A230152832490,morigins,4,7.99,2024-11-25,2024-11-28,2024-11-25,Pending,"Pallabi P, #514, Bajirao Road, City Urban, NamakKal, KA, 600069"
52,415-9901282-7870577,A946671473332,krylon,3,14.49,2024-11-25,2024-11-28,2024-11-28,Delivered,"Sumanata B, #59,  MG Road, City Rural, Bangalore, OD, 770060"
53,983-1373281-4040542,A460399600937,homy casa,6,165.99,2024-11-25,2024-11-27,2024-12-04,Cancelled,"George J, #969, Laad Bazaar, City Rural, NamakKal, KL, 846385"
54,979-9203611-3683800,AMZN129335086026,stamio,4,189.0,2024-11-25,2024-11-26,2024-12-04,Out for Delivery,"Anshul A, #456, Bajirao Road, City Urban, NamakKal, TN, 379823"
55,438-1930771-5079294,AMZN460091960031,kaxiida,4,49.99,2024-11-25,2024-11-26,2024-11-28,Delivered,"George J, #574, Bajirao Road, City Sub-urban, Bangalore, TN, 286328"
56,381-1266904-6421190,A140014760873,neoflam,2,35.14,2024-11-25,2024-11-26,2024-11-26,Shipped,"Shantanu D, #263,  MG Road, City Rural, Bangalore, KL, 314149"
57,686-9824472-1361063,TBA335579472842,mypin,6,21.99,2024-11-25,2024-11-25,2024-12-04,Delivered,"Sahana, #728, Bidyut Marg, City Rural, Hyderabad, TN, 331161"
58,208-5006758-8007105,TBA536987435832,ibenzer,2,15.99,2024-11-25,2024-11-27,2024-12-03,Shipped,"Anshul A, #682, Bidyut Marg, City Sub-urban, Bangalore, KA, 327259"
59,881-8996699-3701827,AMZN829201843358,georgiapacific,8,20.37,2024-11-25,2024-11-26,2024-11-27,Delivered,"Sahana, #892,  MG Road, City Sub-urban, Hyderabad, AP, 427529"
60,821-6132152-7934558,TBA324605392436,spachoice,2,37.99,2024-11-25,2024-11-27,2024-12-05,Out for Delivery,"Anshul A, #728,  MG Road, City Sub-urban, Bangalore, AP, 123487"
61,192-8813823-3489332,AMZN200766433646,fantasy,9,15.69,2024-11-25,2024-11-26,2024-12-02,Pending,"Radhabaran M, #984,  MG Road, City Sub-urban, Thiruvananthapuram, TN, 377576"
62,966-3773320-1189929,TBA242746951573,fantasyday,6,11.99,2024-11-25,2024-11-26,2024-11-28,Pending,"Sahana, #903, Bajirao Road, City Urban, Cuttack , TN, 258591"
63,983-9158614-2139585,AMZN184372135046,covercraft,8,72.55,2024-11-25,2024-11-28,2024-11-30,Shipped,"Shantanu D, #290,  MG Road, City Sub-urban, Thiruvananthapuram, TN, 882753"
64,601-3175305-2447062,A964467828079,skechers,8,53.93,2024-11-25,2024-11-28,2024-11-25,Pending,"Sumanata B, #3, Bajirao Road, City Sub-urban, Hyderabad, AP, 593209"
65,516-7536656-5378998,AMZN536316641186,ecko unltd,5,19.99,2024-11-25,2024-11-28,2024-12-03,Shipped,"George J, #493, S M Street, City Urban, Thiruvananthapuram, OD, 609988"
66,482-9378771-2393511,AMZN703458511525,ez lok,9,29.49,2024-11-25,2024-11-25,2024-11-30,Shipped,"Sahana, #833, Laad Bazaar, City Urban, Thiruvananthapuram, KL, 802575"
67,332-5799040-5924772,TBA468807280366,smead,3,22.34,2024-11-25,2024-11-25,2024-12-05,Out for Delivery,"Pallabi P, #100, Bajirao Road, City Sub-urban, Hyderabad, TN, 327498"
68,679-4097857-2160027,A544614261897,rotring,7,29.99,2024-11-25,2024-11-25,2024-12-02,Cancelled,"Sumanata B, #246,  MG Road, City Rural, Thiruvananthapuram, OD, 535274"
69,719-1615077-3181454,A514791859095,skechers,10,58.56,2024-11-25,2024-11-26,2024-11-25,Cancelled,"Sahana, #139, Bidyut Marg, City Rural, Cuttack , TN, 286752"
70,201-9742667-4085175,AMZN171485620899,bluemoon homes,8,75.99,2024-11-25,2024-11-27,2024-12-05,Pending,"Nikhil G, #244, Laad Bazaar, City Urban, Hyderabad, AP, 110339"
71,942-1901216-7774686,A294868563712,amazon essentials,7,14.94,2024-11-25,2024-11-26,2024-11-28,Cancelled,"Sridhar K S, #569, Bajirao Road, City Sub-urban, Hyderabad, KL, 846853"
72,906-2508609-5627760,AMZN980422158505,bare peel,2,389.0,2024-11-25,2024-11-26,2024-12-01,Shipped,"Sahana, #146, Bidyut Marg, City Urban, Cuttack , OD, 455572"
73,824-5122676-4797946,TBA181214689371,dunwell,3,9.95,2024-11-25,2024-11-26,2024-12-01,Out for Delivery,"Sahana, #855,  MG Road, City Rural, Thiruvananthapuram, TN, 138387"
74,843-8187951-2939508,A444949119900,pixelman,5,9.99,2024-11-25,2024-11-25,2024-11-29,Shipped,"Radhabaran M, #359, Bajirao Road, City Rural, Hyderabad, KL, 846966"
75,415-9311808-8127029,TBA971848241733,bosch,1,111.99,2024-11-25,2024-11-26,2024-11-26,Out for Delivery,"Shantanu D, #741, Bajirao Road, City Sub-urban, Hyderabad, KA, 285411"
76,377-8837588-1252202,AMZN451637512963,landau,1,14.38,2024-11-25,2024-11-26,2024-12-05,Cancelled,"Nikhil G, #277,  MG Road, City Urban, NamakKal, KA, 570646"
77,875-5128369-5297956,AMZN146773910917,iconix,10,29.03,2024-11-25,2024-11-25,2024-11-30,Out for Delivery,"Sridhar K S, #194, Bidyut Marg, City Urban, Hyderabad, TN, 436708"
78,566-6686405-1672374,AMZN528227380134,adidas,1,44.99,2024-11-25,2024-11-26,2024-12-02,Cancelled,"Radhabaran M, #568, Bidyut Marg, City Rural, Hyderabad, TN, 160458"
79,186-2943123-2085060,TBA849491210903,blowfish malibu,9,28.24,2024-11-25,2024-11-26,2024-12-01,Pending,"Sridhar K S, #337, Bidyut Marg, City Rural, NamakKal, TN, 319800"
80,203-9373677-5031039,A269157901822,new balance,6,60.27,2024-11-25,2024-11-27,2024-12-01,Cancelled,"Pallabi P, #947, S M Street, City Urban, NamakKal, AP, 133358"
81,137-9117604-1382119,TBA250271545619,host,3,17.99,2024-11-25,2024-11-28,2024-11-27,Cancelled,"George J, #14, S M Street, City Rural, NamakKal, AP, 479855"
82,653-4439064-3450059,AMZN947148421533,adidas,1,32.45,2024-11-25,2024-11-27,2024-12-05,Out for Delivery,"Radhabaran M, #283,  MG Road, City Sub-urban, Hyderabad, KA, 904901"
83,979-5739943-8178757,TBA480831950168,timberland pro,4,92.49,2024-11-25,2024-11-25,2024-11-27,Cancelled,"Sahana, #710,  MG Road, City Urban, Cuttack , AP, 665091"
84,933-7696136-5302906,AMZN593940160349,isharingtime,7,50.99,2024-11-25,2024-11-25,2024-12-05,Shipped,"Anshul A, #331, S M Street, City Sub-urban, Bangalore, OD, 125935"
85,663-9824937-4718342,AMZN497765700515,havluland,10,19.9,2024-11-25,2024-11-28,2024-12-02,Pending,"Pallabi P, #289,  MG Road, City Sub-urban, Bangalore, AP, 358516"
86,534-6283485-3437730,AMZN741942669905,stens,5,43.58,2024-11-25,2024-11-28,2024-11-27,Shipped,"Anshul A, #360, Laad Bazaar, City Sub-urban, NamakKal, OD, 500059"
87,531-8834932-6037182,AMZN417974327347,ngbhtiob,6,33.99,2024-11-25,2024-11-27,2024-11-29,Pending,"Anshul A, #932, S M Street, City Rural, Thiruvananthapuram, KL, 954677"
88,879-1189264-7139528,AMZN883965827037,ohuhu,2,59.99,2024-11-25,2024-11-25,2024-12-04,Pending,"Radhabaran M, #548, Bajirao Road, City Urban, Thiruvananthapuram, OD, 168779"
89,175-5199948-4400785,AMZN502016107594,vevor,6,62.99,2024-11-25,2024-11-28,2024-11-26,Pending,"Nikhil G, #977, S M Street, City Rural, Bangalore, KL, 757011"
90,772-8230913-2076299,TBA726486156464,mryok,3,12.98,2024-11-25,2024-11-26,2024-11-25,Cancelled,"Pallabi P, #207,  MG Road, City Urban, Bangalore, OD, 455894"
91,138-7681643-2886410,AMZN496064166277,oakley young mens,5,17.81,2024-11-25,2024-11-27,2024-11-25,Pending,"Sahana, #160, S M Street, City Sub-urban, Bangalore, KL, 143506"
92,444-1053452-3164658,A462904930263,amazon essentials,7,26.32,2024-11-25,2024-11-28,2024-12-04,Out for Delivery,"George J, #436, Bajirao Road, City Urban, Bangalore, TN, 187186"
93,195-8673680-2369386,A897659622620,tfroco,7,18.99,2024-11-25,2024-11-27,2024-12-02,Delivered,"George J, #639, S M Street, City Rural, NamakKal, KA, 294781"
94,567-5044203-3755392,TBA296739442281,xerox,6,126.98,2024-11-25,2024-11-25,2024-11-29,Cancelled,"Sridhar K S, #251, Bidyut Marg, City Rural, Thiruvananthapuram, OD, 753500"
95,314-9630192-2024201,TBA162819072522,ouray sportswear,7,38.67,2024-11-25,2024-11-28,2024-12-05,Shipped,"Nikhil G, #681,  MG Road, City Urban, Bangalore, OD, 757570"
96,653-3634813-8872995,A623531199711,phantoscope,1,32.99,2024-11-25,2024-11-27,2024-11-30,Out for Delivery,"Sridhar K S, #183, Bidyut Marg, City Rural, Thiruvananthapuram, AP, 512852"
97,203-5431448-1326665,AMZN178899794455,bosch,8,31.11,2024-11-25,2024-11-28,2024-11-26,Pending,"Sridhar K S, #65, Bidyut Marg, City Sub-urban, NamakKal, AP, 778538"
98,185-8339341-4866258,AMZN732753570468,superun,5,129.99,2024-11-25,2024-11-27,2024-12-04,Pending,"Anshul A, #601, Laad Bazaar, City Rural, NamakKal, KL, 599097"
99,754-4844235-6661363,AMZN545245286212,balanced co,5,12.95,2024-11-25,2024-11-26,2024-12-03,Shipped,"Pallabi P, #968,  MG Road, City Rural, Thiruvananthapuram, KL, 415190"
100,561-5306720-9559713,AMZN996239863089,musibady,7,25.99,2024-11-25,2024-11-27,2024-11-26,Cancelled,"Sridhar K S, #346, S M Street, City Sub-urban, NamakKal, TN, 776648"
101,245-7782941-8633007,A185557171567,safco,7,33.4,2024-11-25,2024-11-28,2024-11-30,Delivered,"Anshul A, #969, Bajirao Road, City Urban, Thiruvananthapuram, AP, 443771"
102,621-9413720-4930631,A443599376002,hybrid company,5,19.99,2024-11-25,2024-11-28,2024-11-26,Out for Delivery,"Radhabaran M, #626, Bajirao Road, City Urban, Bangalore, AP, 586045"
103,827-1288955-5913572,AMZN528345318289,canterbury,1,34.0,2024-11-25,2024-11-28,2024-11-28,Out for Delivery,"Pallabi P, #44, S M Street, City Urban, Hyderabad, KA, 680244"
104,733-3992885-8338139,TBA117471631500,luxurux,4,18.54,2024-11-25,2024-11-26,2024-11-30,Pending,"Pallabi P, #177,  MG Road, City Sub-urban, Hyderabad, AP, 721065"
105,429-6615037-3361611,TBA157370099825,nicetown,10,11.99,2024-11-25,2024-11-27,2024-11-29,Delivered,"Shantanu D, #74, S M Street, City Rural, Thiruvananthapuram, AP, 586877"
106,589-4336630-1577451,TBA677507095688,harrrrd,2,39.89,2024-11-25,2024-11-28,2024-11-27,Shipped,"Nikhil G, #422, S M Street, City Sub-urban, Thiruvananthapuram, TN, 858427"
107,430-4000647-8825960,TBA595059140015,whitefang,4,39.99,2024-11-25,2024-11-27,2024-11-27,Shipped,"Sridhar K S, #14, Bajirao Road, City Rural, Bangalore, TN, 547795"
108,980-6397062-3641807,A529550522146,autelo,1,69.99,2024-11-25,2024-11-25,2024-12-05,Out for Delivery,"Nikhil G, #612, Bajirao Road, City Urban, Hyderabad, KL, 219473"
109,517-1678037-5972676,AMZN674348751244,micro kickboard,10,99.99,2024-11-25,2024-11-25,2024-11-30,Pending,"Pallabi P, #714, Laad Bazaar, City Urban, Cuttack , AP, 273830"
110,929-2011289-1233740,AMZN475768189368,cricut,10,30.59,2024-11-25,2024-11-25,2024-12-02,Pending,"Sahana, #494, Laad Bazaar, City Sub-urban, Thiruvananthapuram, TN, 269186"
111,102-4365843-3983109,A542760357898,vevor,9,63.75,2024-11-25,2024-11-25,2024-12-05,Delivered,"Pallabi P, #447,  MG Road, City Sub-urban, Thiruvananthapuram, OD, 874263"
112,817-7327024-2266315,AMZN474411539089,schiff,5,26.64,2024-11-25,2024-11-25,2024-12-05,Delivered,"Pallabi P, #198, S M Street, City Sub-urban, Bangalore, OD, 972746"
113,546-7591258-2092269,A600507599753,jolike,6,35.99,2024-11-25,2024-11-26,2024-11-28,Pending,"Sumanata B, #587, Bajirao Road, City Urban, Thiruvananthapuram, TN, 977997"
114,575-3649294-4680710,AMZN771819394971,purple ladybug,4,12.98,2024-11-25,2024-11-28,2024-12-05,Shipped,"Sahana, #854, S M Street, City Rural, Hyderabad, TN, 131754"
115,955-7206429-2508989,A346342716326,dritz,4,4.28,2024-11-25,2024-11-28,2024-11-27,Delivered,"Sridhar K S, #114, Bidyut Marg, City Urban, Thiruvananthapuram, KL, 150265"
116,869-6836351-2543331,A378445797601,sleeklighting,8,16.89,2024-11-25,2024-11-28,2024-12-02,Shipped,"Shantanu D, #97, Bajirao Road, City Sub-urban, Thiruvananthapuram, OD, 463197"
117,327-8555227-6390234,TBA244074134503,senllori,1,24.99,2024-11-25,2024-11-26,2024-12-03,Delivered,"Radhabaran M, #759, Bidyut Marg, City Rural, Hyderabad, KA, 545361"
118,678-7559224-7740370,AMZN268575504115,kim s,5,38.99,2024-11-25,2024-11-25,2024-12-02,Cancelled,"Shantanu D, #684, Bidyut Marg, City Urban, Thiruvananthapuram, KL, 406787"
119,123-1498147-8320935,TBA604336269434,lutron,7,82.84,2024-11-25,2024-11-26,2024-11-25,Delivered,"Nikhil G, #894, Bajirao Road, City Urban, Hyderabad, OD, 965636"
120,179-4997239-6024331,TBA715882895697,set wet,3,629.0,2024-11-25,2024-11-27,2024-11-28,Shipped,"Nikhil G, #316, S M Street, City Sub-urban, Hyderabad, OD, 970624"
121,616-2690521-3527595,A764545434338,gazigo,2,23.99,2024-11-25,2024-11-25,2024-12-02,Shipped,"Anshul A, #872,  MG Road, City Rural, NamakKal, KL, 494582"
122,286-6437556-2617061,A330014854606,mineral fusion,4,12.19,2024-11-25,2024-11-27,2024-12-04,Pending,"Sridhar K S, #478, S M Street, City Rural, Hyderabad, KA, 228311"
123,258-6068374-4139273,A133637000673,drawealth,8,79.99,2024-11-25,2024-11-28,2024-11-30,Out for Delivery,"Radhabaran M, #287, Bajirao Road, City Urban, NamakKal, AP, 113596"
124,974-2461093-7183815,A142352640759,oregon,2,14.5,2024-11-25,2024-11-27,2024-11-30,Pending,"Shantanu D, #679, Laad Bazaar, City Urban, Cuttack , KA, 147059"
125,695-4697724-3738256,TBA198030508919,vivohome,4,89.99,2024-11-25,2024-11-28,2024-11-30,Shipped,"Shantanu D, #169, Bidyut Marg, City Rural, Cuttack , AP, 401841"
126,170-1487113-5253370,A913898144052,extreme max,5,16.17,2024-11-25,2024-11-26,2024-12-05,Cancelled,"Anshul A, #63,  MG Road, City Sub-urban, Bangalore, TN, 505683"
127,972-1080335-4085621,TBA852847581929,ldhty,5,11.49,2024-11-25,2024-11-26,2024-11-27,Delivered,"George J, #761, Laad Bazaar, City Urban, Cuttack , KL, 345938"
128,999-4345204-5377444,TBA707814034072,prohear,8,12.99,2024-11-25,2024-11-26,2024-11-30,Pending,"Sridhar K S, #855, Laad Bazaar, City Sub-urban, Hyderabad, KL, 788353"
129,954-1549849-8034405,AMZN470653858503,safco products,10,211.72,2024-11-25,2024-11-27,2024-11-27,Out for Delivery,"George J, #55, Bidyut Marg, City Rural, Thiruvananthapuram, KL, 319608"
130,133-4361198-6328654,TBA637964974450,ipluso,2,42.99,2024-11-25,2024-11-25,2024-11-28,Shipped,"Radhabaran M, #8, Bidyut Marg, City Sub-urban, NamakKal, KL, 565275"
131,372-1886974-3766209,TBA910123049478,klein tools,4,15.72,2024-11-25,2024-11-27,2024-11-27,Out for Delivery,"Pallabi P, #311, S M Street, City Urban, Hyderabad, KL, 826235"
132,687-6665848-4333493,A863029454623,katarina,6,99.99,2024-11-25,2024-11-27,2024-12-02,Delivered,"Sridhar K S, #89, S M Street, City Urban, Bangalore, KA, 467736"
133,323-2121245-7517439,TBA644147995520,lotucy,1,19.99,2024-11-25,2024-11-26,2024-12-02,Out for Delivery,"Sridhar K S, #862, Laad Bazaar, City Sub-urban, Cuttack , TN, 899900"
134,882-8914232-7607343,AMZN163546594794,nautica,9,49.99,2024-11-25,2024-11-25,2024-11-26,Out for Delivery,"Radhabaran M, #511, Bajirao Road, City Rural, Cuttack , TN, 488956"
135,707-6000318-6728988,AMZN383220976142,victorinox,8,42.9,2024-11-25,2024-11-25,2024-11-30,Out for Delivery,"Sahana, #597, Bidyut Marg, City Sub-urban, Bangalore, KL, 219815"
136,460-9775756-4962096,AMZN737691925413,gu energy,7,28.99,2024-11-25,2024-11-25,2024-11-27,Cancelled,"Sumanata B, #936,  MG Road, City Urban, Thiruvananthapuram, KL, 710541"
137,361-5836548-3801894,AMZN924346969267,prepac,4,116.99,2024-11-25,2024-11-28,2024-11-28,Out for Delivery,"Anshul A, #567, Bajirao Road, City Rural, Thiruvananthapuram, AP, 399471"
138,689-3801085-4716756,TBA137764777609,bentoben,3,11.99,2024-11-25,2024-11-26,2024-12-01,Shipped,"Anshul A, #994, Bidyut Marg, City Urban, Thiruvananthapuram, AP, 443385"
139,634-8946914-8430664,A476503241924,centocore,7,25.95,2024-11-25,2024-11-25,2024-12-02,Cancelled,"Shantanu D, #318, Laad Bazaar, City Rural, NamakKal, KA, 579687"
140,370-8855635-9686322,A212552734959,luduhu,4,149.99,2024-11-25,2024-11-28,2024-11-27,Cancelled,"Radhabaran M, #188, Bajirao Road, City Rural, Cuttack , AP, 639345"
141,731-6884792-9470940,A965386101579,iogear,4,59.99,2024-11-25,2024-11-25,2024-11-29,Cancelled,"Pallabi P, #829, Bajirao Road, City Sub-urban, NamakKal, KL, 904262"
142,771-8870369-7613680,TBA488055156145,gearit,7,15.99,2024-11-25,2024-11-27,2024-11-26,Shipped,"Radhabaran M, #280, Bajirao Road, City Sub-urban, Bangalore, KA, 863590"
143,336-1382086-8219207,TBA426026353583,seisso,7,20.98,2024-11-25,2024-11-26,2024-12-03,Pending,"Sridhar K S, #939, S M Street, City Rural, Cuttack , TN, 922483"
144,714-7026650-7225037,AMZN955785930761,champion,2,22.42,2024-11-25,2024-11-27,2024-12-01,Out for Delivery,"Sumanata B, #725,  MG Road, City Rural, Bangalore, OD, 839326"
